"Step","env_name: myoLegWalkT2ApcaK7-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2ApcaK7-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2ApcaK7-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegWalkT2ApcaK5-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2ApcaK5-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2ApcaK5-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegWalkT2ApcaK3-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2ApcaK3-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2ApcaK3-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegWalkT2ApcaK9-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2ApcaK9-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2ApcaK9-v0 - rollout/ep_rew_mean__MAX"
"8","35.075001","34.947582","35.282578","34.883327333333334","33.242546","36.812614","34.921909","33.075752","38.33958","35.37600866666667","33.84802","37.358242"
"11","35.02103666666667","34.6131","35.7557","35.29329333333333","33.636326","36.350388","35.495141","35.334396","35.70684","35.714466","33.320602","38.121872"
"24","37.251371666666664","35.450733","39.423782","36.010096","35.25653","37.255325","37.423079","36.477222","38.680378","35.821055","34.718155","36.512596"
"37","39.10777433333334","37.416443","40.568745","39.50931166666667","38.568302","40.74292","39.07384733333333","38.24694","40.054672","38.43751533333333","37.592743","39.343388"
"50","43.50970433333333","41.995323","46.254566","42.61851866666667","40.68193","43.765373","44.32872633333333","43.269836","45.71629","44.10004633333333","40.65568","46.221104"
"63","55.34989133333334","55.235947","55.48448","54.56536833333334","53.942078","55.553","51.076241333333336","49.117348","52.88328","50.63704933333333","46.586178","55.01591"
"76","64.03044266666667","62.130245","66.94669","64.18142133333333","61.22786","67.22962","62.89134333333334","61.97592","64.28855","62.85746433333333","61.318153","64.00061"
"89","77.73717","71.43028","81.73417","74.92426833333333","71.112274","79.124886","78.89122466666667","75.3194","83.074524","71.455055","68.98936","72.795685"
"102","90.40053","84.09044","96.55755","91.48755333333332","87.76588","95.0367","90.029832","87.98902","91.445786","90.04700000000001","85.30441","94.27545"
"115","104.43932666666667","100.00524","110.08422","102.30866333333331","100.81831","104.87737","104.342085","99.22557","110.276375","103.61027","101.34614","106.22274"
"128","122.11806866666666","120.84383","123.389","123.74019466666665","122.20988","124.95517","115.71632333333334","112.11678","117.61625","123.72141999999998","121.02493","127.12292"
"141","135.42898666666667","133.89247","136.20853","131.71488333333332","128.6632","133.54706","132.46451","125.93178","138.95279","134.34538333333333","132.36644","136.05728"
"154","145.50470666666666","140.42014","152.04195","146.16846","139.85014","152.15843","145.46498","142.83894","147.06123","145.10703333333333","139.5797","154.5901"
"167","156.56027333333336","154.77928","158.77284","156.75822333333335","155.14302","159.88539","153.37034333333335","149.88739","157.76797","160.21564","151.25829","171.25223"
"180","168.28987666666666","163.1455","172.719","167.5549433333333","167.28006","167.70116","166.00939000000002","161.76338","168.597","166.05303666666666","163.05145","168.36862"
"193","174.20223333333334","168.84782","178.18242","176.49676999999997","174.72798","178.59215","174.38965","171.98122","178.86293","174.4346066666667","172.28235","175.52864"
"206","182.96090333333333","180.95609","186.66495","184.50183666666666","181.42747","187.26874","186.05469000000002","184.44664","188.63799","183.19015","181.78357","184.55765"
"219","190.16439333333335","188.02563","191.27196","189.71944333333332","185.46954","193.7429","189.13141","184.80348","197.5692","186.71432666666666","184.78033","188.27682"
"232","198.61715333333336","197.95984","199.02196","197.6694633333333","195.51315","199.26408","194.03527333333332","188.88608","198.90501","197.30034","196.02705","199.31277"
"245","203.07881666666665","200.17946","206.66173","205.04386666666664","202.2939","208.45538","203.97933333333333","200.50514","207.83209","202.25417666666667","198.9736","205.29857"
"258","210.07530666666665","208.0999","212.82838","212.80967","209.2385","216.616","210.84279666666666","208.57526","212.59247","209.44263666666666","207.67654","212.75774"
"271","216.66776333333334","214.006","219.20338","218.30457","217.22963","219.08026","217.07313","212.54062","219.35779","216.44124666666667","212.63644","220.60072"
"284","223.9524633333333","221.62138","227.78804","224.68840333333333","220.03677","229.20851","223.42088","219.71126","227.8546","221.47245666666663","217.75948","226.12022"
"297","229.51190999999997","228.99245","230.05486","230.13191333333336","228.29466","232.12955","228.01820666666666","223.61508","230.78973","227.82399666666666","225.5257","232.05229"
