"Step","env_name: myoLegWalkT2AStiffness-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2AStiffness-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2AStiffness-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegWalkT2AVelocity-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2AVelocity-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2AVelocity-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegWalkT2AStrength-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2AStrength-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2AStrength-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean__MAX"
"8","33.994865","33.994865","33.994865","34.369385","34.369385","34.369385","35.68505","35.68505","35.68505","34.598061666666666","32.87269","36.42626"
"11","36.462673","36.462673","36.462673","34.192852","34.192852","34.192852","35.936516","35.936516","35.936516","36.55704766666667","35.75899","37.15283"
"24","33.72024","33.72024","33.72024","36.469208","36.469208","36.469208","36.298786","36.298786","36.298786","37.88012","35.67824","39.04868"
"37","38.714363","38.714363","38.714363","37.72142","37.72142","37.72142","39.098743","39.098743","39.098743","38.679567","37.674107","40.112736"
"50","41.9357","41.9357","41.9357","39.32057","39.32057","39.32057","46.3938","46.3938","46.3938","45.020589333333334","42.94122","47.114452"
"63","48.835835","48.835835","48.835835","47.72905","47.72905","47.72905","52.122326","52.122326","52.122326","52.378324666666664","50.657227","54.99505"
"76","58.95372","58.95372","58.95372","59.646954","59.646954","59.646954","60.901108","60.901108","60.901108","62.518304","61.468056","63.832966"
"89","72.40816","72.40816","72.40816","67.05186","67.05186","67.05186","75.85785","75.85785","75.85785","75.91524166666666","71.026","78.68244"
"102","77.493996","77.493996","77.493996","82.44869","82.44869","82.44869","87.67768","87.67768","87.67768","90.66790533333334","83.62058","98.11407"
"115","97.036964","97.036964","97.036964","92.72848","92.72848","92.72848","104.01789","104.01789","104.01789","105.60136999999999","103.43011","106.86197"
"128","122.345314","122.345314","122.345314","113.806","113.806","113.806","117.29974","117.29974","117.29974","120.85689500000001","117.16383","124.98807"
"141","126.65793","126.65793","126.65793","122.62934","122.62934","122.62934","126.356026","126.356026","126.356026","138.42047666666667","134.56793","140.70032"
"154","138.58177","138.58177","138.58177","139.7611","139.7611","139.7611","144.9131","144.9131","144.9131","143.13007666666667","138.28764","148.14586"
"167","150.82182","150.82182","150.82182","155.24869","155.24869","155.24869","146.48222","146.48222","146.48222","156.90207666666666","153.54102","158.82123"
"180","162.493","162.493","162.493","160.24371","160.24371","160.24371","161.357","161.357","161.357","166.43311","163.78334","171.01105"
"193","164.96867","164.96867","164.96867","166.58862","166.58862","166.58862","172.75868","172.75868","172.75868","175.17800666666668","171.95306","178.38484"
"206","174.90462","174.90462","174.90462","183.0634","183.0634","183.0634","172.15208","172.15208","172.15208","184.28934","182.93668","185.79134"
"219","184.811","184.811","184.811","191.45924","191.45924","191.45924","187.50339","187.50339","187.50339","191.14429333333337","189.67612","193.22101"
"232","194.20969","194.20969","194.20969","197.59834","197.59834","197.59834","192.74222","192.74222","192.74222","194.99040666666667","191.41656","197.68471"
"245","196.33987","196.33987","196.33987","203.40219","203.40219","203.40219","201.38953","201.38953","201.38953","204.09441999999999","202.7882","205.94609"
"258","205.915","205.915","205.915","210.90938","210.90938","210.90938","210.08531","210.08531","210.08531","209.79903666666667","208.76982","211.10925"
"271","209.63904","209.63904","209.63904","220.2501","220.2501","220.2501","214.68758","214.68758","214.68758","216.36016333333336","213.31917","220.47978"
"284","216.61017","216.61017","216.61017","225.17665","225.17665","225.17665","220.40556","220.40556","220.40556","222.09642999999997","220.32846","224.66821"
"297","222.03186","222.03186","222.03186","228.40817","228.40817","228.40817","224.86818","224.86818","224.86818","229.37535000000003","227.47145","232.05832"
"310","226.21524","226.21524","226.21524","237.17989","237.17989","237.17989","236.98598","236.98598","236.98598","235.02332","232.77458","236.71638"
"323","233.6336","233.6336","233.6336","241.92972","241.92972","241.92972","241.8592","241.8592","241.8592","240.40427","236.5394","243.52531"
"336","236.3725","236.3725","236.3725","247.8863","247.8863","247.8863","246.85338","246.85338","246.85338","247.6963166666667","246.10422","249.8648"
"349","244.75792","244.75792","244.75792","249.29256","249.29256","249.29256","253.57764","253.57764","253.57764","253.08361666666667","250.06367","257.59085"
"362","247.88545","247.88545","247.88545","253.28763","253.28763","253.28763","257.80783","257.80783","257.80783","259.8390733333334","256.29718","264.0966"
"375","252.62828","252.62828","252.62828","259.49744","259.49744","259.49744","263.37573","263.37573","263.37573","264.8792966666667","260.7963","269.42383"
