"Step","env_name: myoLegHillyTerrainWalkT2A-v0 - rollout/ep_rew_mean","env_name: myoLegHillyTerrainWalkT2A-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegHillyTerrainWalkT2A-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegHillyTerrainWalkT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegHillyTerrainWalkT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegHillyTerrainWalkT2Apca-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegHillyTerrainWalk-v0 - rollout/ep_rew_mean","env_name: myoLegHillyTerrainWalk-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegHillyTerrainWalk-v0 - rollout/ep_rew_mean__MAX"
"8","47.357029999999995","44.47537","50.23869","43.541241","42.228226","44.854256","57.92081066666666","56.364693","59.089775"
"11","47.5337665","47.481613","47.58592","47.912073","47.633404","48.190742","57.33040866666667","55.715282","59.43504"
"24","45.605775","45.52911","45.68244","49.902269000000004","49.683548","50.12099","61.18043733333334","60.556835","61.810917"
"37","56.934544","55.603085","58.266003","52.195364","51.442684","52.948044","64.59368333333333","62.02907","66.34432"
"50","66.110575","65.45886","66.76229","66.9472505","66.093445","67.801056","67.46621533333334","66.98372","67.86194"
"63","75.613095","73.0526","78.17359","77.51787","75.42842","79.60732","68.84973833333333","63.66375","72.33254"
"76","96.0877725","94.073425","98.10212","93.1594225","91.116615","95.20223","73.13458333333334","72.11484","74.7791"
"89","109.92410799999999","109.41994","110.428276","111.343655","110.345","112.34231","80.06400666666667","75.32975","85.00371"
"102","119.9631875","118.70632","121.220055","119.496715","119.42526","119.56817","80.35229","78.84972","82.59482"
"115","138.468545","130.39394","146.54315","132.193785","130.12947","134.2581","86.05743","82.38216","92.73424"
"128","151.47252500000002","149.23415","153.7109","149.599775","147.62384","151.57571","88.62100166666666","84.147285","91.65909"
"141","159.262865","158.44681","160.07892","161.89547","160.8085","162.98244","92.94050833333334","89.79209","95.01442"
"154","168.51396999999997","167.46593","169.56201","168.65703000000002","167.3881","169.92596","96.93067333333333","90.84691","104.62494"
"167","178.02613","176.47346","179.5788","178.937675","178.33957","179.53578","104.39168","103.26784","106.15205"
