"Step","env_name: myoLegRoughTerrainT2A-v0 - rollout/ep_rew_mean","env_name: myoLegRoughTerrainT2A-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegRoughTerrainT2A-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegRoughTerrainT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegRoughTerrainT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegRoughTerrainT2Apca-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegRoughTerrainWalk-v0 - rollout/ep_rew_mean","env_name: myoLegRoughTerrainWalk-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegRoughTerrainWalk-v0 - rollout/ep_rew_mean__MAX"
"8","39.09671766666667","36.30226","41.332848","39.12329033333333","38.489616","39.49275","48.264158","47.07753","49.89623"
"11","42.08277666666667","41.45201","42.55272","39.09166833333333","37.241955","40.31052","50.109427000000004","48.85915","51.936977"
"24","41.398248333333335","40.01199","42.89663","41.33115766666666","39.545715","42.812275","49.73533066666667","46.86429","51.972588"
"37","44.880116333333326","44.3879","45.530296","45.823093666666665","42.96291","48.582024","52.35114633333333","50.61104","55.828423"
"50","53.742938","52.36541","56.237267","52.694345","51.846977","53.527283","55.268459","53.806694","57.039593"
"63","64.30777333333333","61.6062","67.13884","59.406906666666664","56.60592","63.85181","57.14118166666666","53.286285","61.06268"
"76","78.00542666666666","74.0859","82.31104","77.07352833333333","76.844955","77.19146","59.611050666666664","56.86797","61.809032"
"89","95.37297833333334","93.89705","96.660515","85.94269033333335","81.574936","90.698235","62.10501333333334","59.708725","64.25476"
"102","106.26949833333333","103.08428","111.89004","98.94836500000001","97.446075","100.62482","64.911525","61.792885","67.57536"
"115","122.32539000000001","117.246605","127.82082","116.37818","111.38012","120.57443","67.090215","65.47651","68.19818"
"128","133.23800333333332","129.94954","139.68758","134.40639666666667","132.80377","137.21623","69.81559","65.45109","72.97132"
"141","149.10231666666667","146.90639","152.67415","141.45818666666665","138.85396","145.16853","74.710235","71.40906","79.339745"
"154","159.11739666666668","151.53651","165.91756","154.14885999999998","147.71521","159.93974","80.68856833333334","76.81374","83.283875"
"167","168.00881","165.99673","169.74062","162.52597","155.67653","166.1476","82.30604166666666","73.652885","87.56312"
"180","173.0349666666667","170.2262","177.8139","172.96141666666668","169.83846","175.0711","98.62587666666667","89.69394","106.61605"
"193","179.66897333333335","177.41905","183.1287","180.7162033333333","180.42284","181.2361","97.91670333333333","93.13223","107.1045"
"206","189.05228333333335","187.55986","191.96877","187.2816633333333","181.76227","192.03957","107.21382799999999","104.5196","109.873604"
"219","194.85216333333335","192.29668","199.22748","195.0718433333333","192.00337","198.48099","118.35111333333333","114.04737","124.8603"
"232","201.76558333333332","199.5307","205.2899","198.54124000000002","195.25212","200.48912","120.84617133333332","114.192444","125.02306"
"245","208.33658333333332","206.61671","209.65523","202.50413","200.0238","204.12122","135.63454333333334","130.01624","144.55501"
"258","213.14838333333333","209.58104","216.38379","211.17908666666665","205.70047","215.16081","142.99832666666666","137.66599","149.47462"
"271","220.58368","218.51837","221.68953","215.76199999999997","211.90292","218.01662","146.58348","143.03532","148.79819"
"284","225.13118333333333","222.91722","227.62727","221.28237000000001","220.12418","222.41287","153.91941","148.53693","157.508"
"297","231.58159333333333","228.34703","233.8401","226.45971333333333","224.03078","227.90254","161.42141666666666","160.00485","162.19273"
"310","234.70951333333335","233.27347","235.65564","229.97877000000003","227.9775","231.7761","163.93042666666668","162.9705","165.6139"
"323","242.0700866666667","240.85683","244.48495","234.87956","233.82755","236.33269","174.91369666666665","173.41635","177.89664"
"336","245.50802","243.22598","249.41739","240.07241","239.40025","240.90263","180.34167333333335","178.36404","183.24806"
"349","251.5217","250.44933","253.11673","247.45429666666666","243.82632","250.25114","183.00861666666665","181.54607","185.19603"
"362","254.54700000000003","253.63242","255.89304","252.36873333333332","251.62015","253.14244","188.15806999999998","185.5366","189.59059"
"375","260.5143233333333","258.78464","261.6261","252.85491000000002","250.19716","254.34607","191.31636","186.13145","194.68152"
"388","262.9956133333333","260.1562","265.68094","258.89818","255.58797","261.73914","195.11245999999997","191.02771","201.68343"
"401","267.50696","265.80344","269.5752","263.95377666666667","263.7305","264.11243","200.0185766666667","196.00548","206.3156"
