"Step","env_name: myoLegStairTerrainT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegStairTerrainT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegStairTerrainT2Apca-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegStairTerrainT2A-v0 - rollout/ep_rew_mean","env_name: myoLegStairTerrainT2A-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegStairTerrainT2A-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegStairTerrainWalk-v0 - rollout/ep_rew_mean","env_name: myoLegStairTerrainWalk-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegStairTerrainWalk-v0 - rollout/ep_rew_mean__MAX"
"8","37.04952633333334","35.543545","39.137524","35.073274000000005","33.199764","37.883583","42.627165999999995","41.65559","43.309628"
"11","35.168434","33.081886","37.232746","37.919942","35.0648","41.07967","44.13369433333333","41.809067","46.63254"
"24","40.21240733333334","39.05254","41.003696","36.483216999999996","35.53016","37.149796","44.399325000000005","43.009476","46.446556"
"37","39.25766266666667","37.467575","40.302216","40.80478566666667","38.10931","43.408367","46.519258","44.04848","48.22878"
"50","45.124897","44.358906","46.365093","49.598598333333335","47.678585","51.541813","46.68654266666667","45.964325","47.24408"
"63","54.023245","51.91048","56.331573","57.211938333333336","55.556454","59.725876","47.95806733333333","46.85017","49.030212"
"76","65.04395633333333","63.620304","66.25437","71.37086166666667","70.217545","72.46125","50.393600666666664","47.929707","51.672077"
"89","75.63218333333333","71.28508","81.06976","84.60473166666667","80.62311","86.75624","52.03978333333333","49.79914","53.630173"
"102","92.723362","91.651276","94.14024","99.66864600000001","87.790764","108.080154","54.05619066666667","51.115788","56.840206"
"115","108.39527866666667","103.49527","111.197876","117.61829533333334","116.689186","118.78091","57.455535999999995","55.569458","59.84266"
"128","121.46666","120.52408","122.42641","128.9150533333333","127.36842","130.6075","59.29057533333333","55.767982","61.91476"
"141","136.84888666666666","136.13412","137.83377","146.50063","142.05396","149.76971","64.51571666666666","61.316635","67.21003"
"154","150.07314999999997","145.61871","154.37204","152.13238666666666","148.11465","154.25305","64.86796299999999","60.689934","68.13288"
