"Step","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2Apca-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegWalkT2A-v0 - rollout/ep_rew_mean","env_name: myoLegWalkT2A-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalkT2A-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegWalk-v0 - rollout/ep_rew_mean","env_name: myoLegWalk-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegWalk-v0 - rollout/ep_rew_mean__MAX"
"8","34.598061666666666","32.87269","36.42626","33.306883","32.527733","34.086033","41.61817933333333","40.573772","42.297436"
"11","36.55704766666667","35.75899","37.15283","33.23652","33.17259","33.30045","43.400169000000005","42.906387","44.07454"
"24","37.88012","35.67824","39.04868","36.939347","34.58727","39.291424","44.62421366666666","44.42523","44.964367"
"37","38.679567","37.674107","40.112736","40.450168","37.40877","43.491566","45.390539666666676","42.837067","47.649635"
"50","45.020589333333334","42.94122","47.114452","46.6717735","46.471275","46.872272","47.534454333333336","46.135254","49.728996"
"63","52.378324666666664","50.657227","54.99505","56.5718665","55.87905","57.264683","48.76816666666667","48.11967","49.97148"
"76","62.518304","61.468056","63.832966","68.8810575","64.75576","73.006355","51.161638333333336","49.593822","52.160133"
"89","75.91524166666666","71.026","78.68244","79.54912999999999","79.49467","79.60359","51.00478933333333","50.62484","51.3281"
"102","90.66790533333334","83.62058","98.11407","101.237407","94.46469","108.010124","53.45623466666667","52.045914","54.89105"
"115","105.60136999999999","103.43011","106.86197","112.968885","111.88537","114.0524","55.584295","53.17869","57.12289"
"128","120.85689500000001","117.16383","124.98807","133.22168499999998","132.72668","133.71669","59.55865633333334","58.47358","60.946114"
"141","138.42047666666667","134.56793","140.70032","139.773765","133.57976","145.96777","65.56892866666665","61.644566","68.41067"
"154","143.13007666666667","138.28764","148.14586","157.263405","151.38547","163.14134","66.850367","62.056656","73.33348"
"167","156.90207666666666","153.54102","158.82123","165.14563","162.09235","168.19891","69.901325","69.098015","70.39725"
"180","166.43311","163.78334","171.01105","168.90695499999998","167.21535","170.59856","75.04394866666667","71.687996","81.22852"
"193","175.17800666666668","171.95306","178.38484","175.363505","172.61304","178.11397","84.71309166666667","82.14624","87.266685"
"206","184.28934","182.93668","185.79134","186.14134","185.66374","186.61894","89.10263833333333","83.17925","93.71548"
"219","191.14429333333337","189.67612","193.22101","189.18580500000002","183.40973","194.96188","104.82351666666666","99.34195","115.1591"
"232","194.99040666666667","191.41656","197.68471","199.845945","196.96991","202.72198","110.646638","107.17384","112.95288"
"245","204.09441999999999","202.7882","205.94609","201.253305","199.22095","203.28566","117.57445333333334","115.89789","119.36475"
"258","209.79903666666667","208.76982","211.10925","212.30982999999998","211.19704","213.42262","131.028065","120.826035","138.54706"
