"Step","env_name: myoLegRoughTerrainT2Apca0-v0 - rollout/ep_rew_mean","env_name: myoLegRoughTerrainT2Apca0-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegRoughTerrainT2Apca0-v0 - rollout/ep_rew_mean__MAX","env_name: myoLegRoughTerrainT2Apca-v0 - rollout/ep_rew_mean","env_name: myoLegRoughTerrainT2Apca-v0 - rollout/ep_rew_mean__MIN","env_name: myoLegRoughTerrainT2Apca-v0 - rollout/ep_rew_mean__MAX"
"8","38.04593800000001","34.885826","40.914318","38.938560499999994","38.489616","39.387505"
"11","38.46342","34.544697","40.636463","40.016525","39.72253","40.31052"
"24","41.12140366666667","40.412273","41.60567","42.223879","41.635483","42.812275"
"37","46.13292066666667","43.81851","48.85311","45.772467","42.96291","48.582024"
"50","49.545627333333336","47.311905","53.183327","52.687129999999996","51.846977","53.527283"
"63","60.53560233333334","59.32193","61.48783","57.184455","56.60592","57.76299"
"76","71.79550133333333","69.664154","72.98958","77.0145625","76.844955","77.18417"
"89","77.20840666666666","72.16438","81.69214","83.564918","81.574936","85.5549"
"102","96.581474","94.588684","100.415504","99.0354475","97.446075","100.62482"
"115","105.918018","97.054344","110.38758","115.977275","111.38012","120.57443"
"128","123.39686466666667","122.291084","124.49818","133.00148","132.80377","133.19919"
"141","138.58","137.01204","139.7882","142.7603","140.35207","145.16853"
"154","151.33971","148.32823","155.43414","153.827475","147.71521","159.93974"
"167","162.24666333333332","160.44615","165.18971","165.95069","165.75378","166.1476"
"180","168.79740666666666","161.84439","176.70587","174.522895","173.97469","175.0711"
"193","175.52104666666665","172.72844","177.21568","180.82947000000001","180.42284","181.2361"
"206","184.60730999999998","179.49501","188.47578","186.90091999999999","181.76227","192.03957"
"219","194.77541333333332","193.91681","195.56255","195.24218","192.00337","198.48099"
"232","198.21447333333333","196.49332","201.04292","197.87062","195.25212","200.48912"
"245","204.23506999999998","201.02614","207.07997","201.695585","200.0238","203.36737"
"258","208.91662333333332","207.72943","209.566","209.188225","205.70047","212.67598"
"271","216.27761","215.05164","218.29974","214.95977","211.90292","218.01662"
"284","223.29209333333333","220.11755","225.73883","221.268525","220.12418","222.41287"
"297","227.05175333333332","224.06952","228.81146","227.67417999999998","227.44582","227.90254"
"310","231.6204766666667","230.1083","232.84087","229.080105","227.9775","230.18271"
"323","238.76717333333332","236.4886","240.50468","235.40556500000002","234.47844","236.33269"
"336","243.01471333333333","240.87952","244.2131","240.15143999999998","239.40025","240.90263"
"349","246.69688666666664","245.54868","248.90413","246.05587500000001","243.82632","248.28543"
"362","251.7750566666667","249.45154","253.34923","251.98188","251.62015","252.34361"
"375","254.43317666666667","251.44711","256.46204","254.183785","254.0215","254.34607"
"388","260.47710666666666","257.8873","262.10242","258.66355500000003","255.58797","261.73914"
"401","261.02492","259.94772","262.50427","264.06541500000003","264.0184","264.11243"
"414","266.07213","263.8077","268.24652","268.02126","267.00952","269.033"
"427","269.22327666666666","268.39352","270.05603","273.11719","270.07892","276.15546"
"440","271.38167","269.29883","272.58298","277.144625","275.6467","278.64255"
"453","273.2549333333333","271.48953","275.5654","279.095645","279.00687","279.18442"
"466","276.74197333333336","274.55225","280.11502","282.970285","282.82547","283.1151"
"479","279.9074","278.89316","280.65887","287.664165","284.25555","291.07278"
"492","282.45726666666667","279.86304","286.03403","291.07642999999996","287.5748","294.57806"
"505","283.73670666666663","282.2823","286.16562","292.15643","289.11246","295.2004"
"518","285.9558666666666","282.9741","289.0257","295.576905","295.41937","295.73444"
"531","290.10059666666666","288.14322","292.63983","298.5494","297.1395","299.9593"
"544","294.5542666666667","293.1158","295.80988","304.26639","301.70648","306.8263"
"557","293.6727266666666","293.0422","294.67572","303.17654000000005","299.38528","306.9678"
"570","297.8246433333333","293.64062","303.44986","307.67157","307.49612","307.84702"
"583","301.0555133333333","298.71927","303.09024","311.209105","309.41006","313.00815"
"596","302.6120466666667","299.90366","307.1696","310.14587500000005","309.9784","310.31335"
"609","304.60848666666664","304.1624","305.18692","317.89053","316.67938","319.10168"
"622","306.7302333333333","303.9736","310.4281","317.39664","315.71976","319.07352"
"635","309.20865000000003","307.36646","311.56207","321.552105","321.44183","321.66238"
